ITE_true,ITE_malts
0.1992,0.2037
0.2815,0.288
0.1628,0.1671
0.0185,0.267
0.0014,0.2557
0.0457,0.2643
0.4527,0.267
0.0765,0.2706
0.3224,0.3247
0.0391,0.0519
0.3799,0.3693
0.067,0.2424
0.0328,0.0309
0.4183,0.4286
0.403,0.4085
0.2894,0.2818
0.3309,0.2089
0.2524,0.2519
0.0181,0.0165
0.2722,0.2179
0.462,0.2601
0.0,0.0
0.4527,0.4626
0.0814,0.0719
0.304,0.3408
0.0625,0.0571
0.3507,0.3531
0.4687,0.4598
0.1119,0.1048
0.0047,0.0052
0.0648,0.0547
0.4617,0.4582
0.4732,0.2625
0.3454,0.3555
0.4106,0.4082
0.3773,0.3888
0.4081,0.3297
0.0514,0.0489
0.2527,0.3324
0.4757,0.3289
0.3538,0.3576
0.1528,0.139
0.4792,0.4809
0.0,0.0
0.4613,0.4695
0.0,0.2416
0.4253,0.2278
0.4774,0.4767
0.0492,0.0444
0.0,0.0
0.0742,0.0644
0.2176,0.2127
0.1738,0.1698
0.079,0.0958
0.1874,0.1902
0.399,0.4054
0.3708,0.252
0.0081,0.0093
0.4199,0.4234
0.0062,0.0083
0.4687,0.4707
0.4912,0.4851
0.1601,0.1582
0.0088,0.1993
0.0212,0.0162
0.0092,0.0085
0.0735,0.0704
0.0026,0.0013
0.2242,0.2556
0.1629,0.1584
0.1896,0.1847
0.4183,0.4286
0.4531,0.4532
0.1985,0.1997
0.1041,0.1152
0.4964,0.2
0.0,0.0
0.3132,0.304
0.2592,0.0829
0.1118,0.1114
0.0908,0.0888
0.0,0.0
0.0244,0.0197
0.2872,0.2719
0.0116,0.01
0.027,0.019
0.4677,0.4698
0.0495,0.0489
0.4227,0.1178
0.0004,0.0
0.002,0.0026
0.0908,0.0912
0.1298,0.126
0.1638,0.1821
0.1027,0.1319
0.0695,0.0722
0.316,0.1935
0.2644,0.2674
0.4494,0.4478
0.0846,0.0766
0.0606,0.0682
0.4482,0.4582
0.1154,0.1138
0.2664,0.2679
0.0091,0.0141
0.4742,0.479
0.0134,0.0126
0.4315,0.1012
0.0173,0.0178
0.0637,0.0791
0.4583,0.1359
0.0,0.0
0.2857,0.2829
0.0,0.0
0.047,0.1577
0.2002,0.1957
0.4729,0.474
0.0213,0.024
0.0704,0.0765
0.3329,0.2754
0.4327,0.4288
0.4753,0.4868
0.0605,0.0511
0.0,0.0
0.3657,0.3595
0.4558,0.4679
0.0499,0.0583
0.0564,0.0492
0.4304,0.4249
0.4218,0.4125
0.2742,0.2761
0.3355,0.3392
0.0,0.0
0.0,0.0
0.479,0.4767
0.4325,0.4351
0.2609,0.2701
0.0,0.271
0.4338,0.4348
0.3686,0.3746
0.008,0.0061
0.1702,0.1769
0.2724,0.2665
0.2127,0.2348
0.2059,0.1893
0.3794,0.3764
0.0,0.0
0.1066,0.1043
0.407,0.4162
0.1759,0.2856
0.3401,0.3509
0.2981,0.2974
0.4223,0.4118
0.2238,0.2274
0.4178,0.3984
0.093,0.1068
0.442,0.2299
0.1236,0.1274
0.0926,0.0901
0.0237,0.028
0.347,0.2657
0.3034,0.2999
0.3509,0.356
0.1587,0.2623
0.3271,0.3289
0.2122,0.2463
0.4497,0.445
0.4465,0.4387
0.1261,0.1175
0.0855,0.0723
0.3318,0.3372
0.119,0.1283
0.4281,0.4267
0.0525,0.0539
0.3917,0.212
0.0816,0.082
0.0,0.0
0.3807,0.3746
0.0,0.0
0.4566,0.4692
0.1028,0.095
0.2442,0.2388
0.4365,0.4319
0.0,0.3239
0.1008,0.124
0.4732,0.4805
0.059,0.2763
0.4256,0.2703
0.3559,0.3488
0.4328,0.4338
0.027,0.0211
0.0095,0.0087
0.4673,0.4596
0.0,0.0
0.3446,0.3508
0.3579,0.2228
0.4193,0.4179
0.4233,0.3945
0.117,0.1173
0.1231,0.1241
0.1915,0.1925
0.4577,0.2552
0.0,0.0
0.4769,0.4689
0.3727,0.3634
0.2655,0.2717
0.0668,0.0601
0.2663,0.3145
0.3333,0.3358
0.4742,0.2432
0.3982,0.4033
0.4064,0.4114
0.0293,0.0275
0.1993,0.2065
0.0012,0.0008
0.0013,0.0
0.0,0.0
0.0004,0.0004
0.0037,0.0029
0.4595,0.13
0.4685,0.4638
0.3907,0.4021
0.2392,0.2272
0.0282,0.0285
0.3916,0.3996
0.017,0.0142
0.3813,0.3943
0.1809,0.1627
0.2521,0.1614
0.0853,0.0842
0.0013,0.0
0.0014,0.0007
0.41,0.4163
0.0675,0.1793
0.1331,0.121
